['INFO ]2023-07-03 14:07:58,855(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user selecting {string} item from the drop down menu
['INFO ]2023-07-03 14:07:58,869(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user should be directed to {string} Page
['INFO ]2023-07-03 14:07:59,116(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user is in the {string} page after logged in
['INFO ]2023-07-03 14:07:59,355(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user clicks {string} link of Linked List page
['INFO ]2023-07-03 14:07:59,364(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user should be directed to {string} Page
['INFO ]2023-07-03 14:07:59,506(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user is on the {string} page of Linked List after logged in
['INFO ]2023-07-03 14:07:59,752(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user clicks Try Here button
['INFO ]2023-07-03 14:07:59,801(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user should be redirected to a page having an tryEditor with a Run button to test
['INFO ]2023-07-03 14:07:59,991(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user is in a try here page having tryEditor with a Run button to test
['INFO ]2023-07-03 14:08:00,166(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user gets input from sheet {string} and {int}
['INFO ]2023-07-03 14:08:00,237(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user click on Run button
['INFO ]2023-07-03 14:08:00,267(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user should be presented with Run output
['INFO ]2023-07-03 14:08:00,499(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user is in a try here page having tryEditor with a Run button to test
['INFO ]2023-07-03 14:08:00,641(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user gets invalid input from sheet {string} and {int}
['INFO ]2023-07-03 14:08:00,693(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user click on Run button
['INFO ]2023-07-03 14:08:00,738(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user should be presented with the Run output with alert
['INFO ]2023-07-03 14:08:01,029(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user is in the {string} page after logged in
['INFO ]2023-07-03 14:08:01,267(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user clicks {string} link of Linked List page
['INFO ]2023-07-03 14:08:01,272(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user should be directed to {string} Page
['INFO ]2023-07-03 14:08:01,304(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user is on the {string} page of Linked List after logged in
['INFO ]2023-07-03 14:08:01,512(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user clicks Try Here button
['INFO ]2023-07-03 14:08:01,559(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user should be redirected to a page having an tryEditor with a Run button to test
['INFO ]2023-07-03 14:08:01,748(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user is in a try here page having tryEditor with a Run button to test
